Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
13500,Sport Boat,B̩n̩teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,262,EUR,13500,France," PORNICHET, France"
14500,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3,2,PVC,186,EUR,14500,Portugal," Portiṃo, Portugal"
15600,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,292,CHF,15756,Switzerland, Lake Geneva 
14366,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,119,EUR,14366,Germany, Lake Constance 
15500,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,151,CHF,15655,Switzerland, Lake Geneva 
14200,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,285,EUR,14200,Switzerland, Diessenhoen
14000,Sport Boat,Gobbi power boats,Used boat,1997,9.15,3,GRP,281,EUR,14000,Italy, Veneto 
14000,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,118,EUR,14000,Croatia , Biograd
14900,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,156,EUR,14900,Germany, Stadtprozelten
14900,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10,3,GRP,111,EUR,14900,Croatia , Istra
14900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,87,EUR,14900,Italy, Dormelletto 
14900,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,70,EUR,14900,Germany, Berlin 
14900,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,356,EUR,14900,Italy, Friuli Venezia Giulia 
14900,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,198,EUR,14900,Germany, Bayern 
14900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,80,EUR,14900,Switzerland, Lugano 
